,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue ID,Cluster Label,Rating,Tips Count
0,Marble Hill,40.87655077879964,-73.91065965862981,Land & Sea Restaurant,40.87788463309788,-73.90587282193539,Seafood Restaurant,4b9c9c6af964a520b27236e3,-1,7.1,19
1,Marble Hill,40.87655077879964,-73.91065965862981,Grill 26 at TCR,40.878802209517126,-73.9156723022461,American Restaurant,5012c967e889cf0567e9e2d4,-1,,0
2,Chinatown,40.71561842231432,-73.99427936255978,Spicy Village,40.71701,-73.99353,Chinese Restaurant,4db3374590a0843f295fb69b,0,8.7,180
3,Chinatown,40.71561842231432,-73.99427936255978,Kiki's,40.714476082876864,-73.99203609673215,Greek Restaurant,5521c2ff498ebe2368634187,0,9.3,205
4,Chinatown,40.71561842231432,-73.99427936255978,Wah Fung Number 1 Fast Food 華豐快餐店,40.71727831655619,-73.99417731304892,Chinese Restaurant,4a96bf8ff964a520ce2620e3,0,8.4,99
5,Chinatown,40.71561842231432,-73.99427936255978,Xi'an Famous Foods,40.71523194171501,-73.99726288220869,Chinese Restaurant,5894c9a15e56b417cf79e553,-1,9.1,29
6,Chinatown,40.71561842231432,-73.99427936255978,Dimes,40.71483045349728,-73.99171854350031,American Restaurant,522dfe8b7e4826517408a264,0,8.6,178
7,Chinatown,40.71561842231432,-73.99427936255978,Forgtmenot,40.7144587613216,-73.9915463794752,New American Restaurant,4fd38a04e4b065401a9aaf88,0,9.0,97
8,Chinatown,40.71561842231432,-73.99427936255978,Cervo's,40.714762540056384,-73.99145547895715,Spanish Restaurant,59480a78f62e090a3b4d6eb7,0,8.7,22
9,Chinatown,40.71561842231432,-73.99427936255978,Ling Kee Malaysian Beef Jerky,40.714713,-73.991538,Asian Restaurant,4b89ac72f964a520e94a32e3,0,8.6,12
10,Chinatown,40.71561842231432,-73.99427936255978,Da Yu Hot Pot 大渝火锅,40.716735,-73.995752,Hotpot Restaurant,5d992946dbf3ca0008d05211,-1,8.1,1
11,Chinatown,40.71561842231432,-73.99427936255978,Joe's Shanghai 鹿嗚春,40.71566097685305,-73.99669268189086,Shanghai Restaurant,5ded51eaf492de00080966ed,-1,8.0,8
12,Chinatown,40.71561842231432,-73.99427936255978,Shu Jiao Fu Zhou Cuisine 潭頭王福州小吃 (Shu Jiao Fu Zhou Cuisine),40.717434,-73.991848,Dumpling Restaurant,4b391426f964a520ae5525e3,0,8.6,108
13,Chinatown,40.71561842231432,-73.99427936255978,Wayla,40.7182908437571,-73.99258397519588,Thai Restaurant,5cc4e9d0c876c8002c3010cb,0,9.4,33
14,Chinatown,40.71561842231432,-73.99427936255978,Hwa Yuan,40.71361826653023,-73.99597818966741,Chinese Restaurant,59d828f0916bc1155fde2c04,-1,8.3,20
15,Chinatown,40.71561842231432,-73.99427936255978,Simple,40.71814514203096,-73.99198775758143,Asian Restaurant,574f2ae0498ec2a700651b95,0,9.2,47
16,Chinatown,40.71561842231432,-73.99427936255978,Bacaro,40.7144678975578,-73.9915893664933,Italian Restaurant,472a027af964a520ea4b1fe3,0,8.2,74
17,Chinatown,40.71561842231432,-73.99427936255978,99 Favor Taste 99號餐廳,40.71756,-73.99258,Hotpot Restaurant,530ff20411d2a01b7bb8a19c,0,8.2,102
18,Chinatown,40.71561842231432,-73.99427936255978,Great N.Y. Noodletown,40.715039001656855,-73.99694075378208,Chinese Restaurant,3fd66200f964a520b1ea1ee3,-1,8.0,285
19,Chinatown,40.71561842231432,-73.99427936255978,Yi Ji Shi Mo Noodle Corp,40.7182541242483,-73.99593030303214,Chinese Restaurant,5c965dad5455b2002c058659,-1,8.7,7
20,Chinatown,40.71561842231432,-73.99427936255978,New Malaysia,40.71578686130709,-73.9969050590344,Malay Restaurant,4bb92a9453649c74dacb47fb,-1,7.9,97
21,Chinatown,40.71561842231432,-73.99427936255978,l'estudio,40.71571997526929,-73.99033245121464,American Restaurant,587996ef0923920c21ea4603,0,8.7,9
22,Chinatown,40.71561842231432,-73.99427936255978,Kopitiam,40.71397394589247,-73.9908676845466,Malay Restaurant,5b33b3c74a7aae002cb0611d,-1,8.8,34
23,Chinatown,40.71561842231432,-73.99427936255978,The Flower Shop,40.718056988544205,-73.9920596318328,American Restaurant,583e5099b21014593fb544b0,0,8.6,31
24,Chinatown,40.71561842231432,-73.99427936255978,Phở Grand,40.71782396789147,-73.99280072371246,Vietnamese Restaurant,4388f700f964a520162b1fe3,0,8.1,133
25,Chinatown,40.71561842231432,-73.99427936255978,The Commissary,40.71500419213064,-73.99100963130398,American Restaurant,572bcbaa498e16431ad34a61,0,8.2,13
