,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue ID
0,Marble Hill,40.87655077879964,-73.91065965862981,Arturo's,40.87441177110231,-73.91027100981574,Pizza Place,4b4429abf964a52037f225e3
1,Marble Hill,40.87655077879964,-73.91065965862981,Bikram Yoga,40.876843690797934,-73.90620384419528,Yoga Studio,4baf59e8f964a520a6f93be3
2,Marble Hill,40.87655077879964,-73.91065965862981,Tibbett Diner,40.8804044222466,-73.90893738006402,Diner,4b79cc46f964a520c5122fe3
3,Marble Hill,40.87655077879964,-73.91065965862981,Dunkin',40.87713584201589,-73.90666550701411,Donut Shop,4b5357adf964a520319827e3
4,Marble Hill,40.87655077879964,-73.91065965862981,Starbucks,40.87753134921497,-73.90558216359267,Coffee Shop,55f81cd2498ee903149fcc64
5,Marble Hill,40.87655077879964,-73.91065965862981,Astral Fitness & Wellness Center,40.87670526507199,-73.90637207670373,Gym,4cf6ae55d3a8a1cd71a9d243
6,Marble Hill,40.87655077879964,-73.91065965862981,TCR The Club of Riverdale,40.8786283,-73.9145678,Tennis Stadium,4a725fa1f964a520f6da1fe3
7,Marble Hill,40.87655077879964,-73.91065965862981,Blink Fitness,40.877271495944626,-73.90559491338075,Gym,55f751ca498eacc0307d1cfe
8,Marble Hill,40.87655077879964,-73.91065965862981,GameStop,40.874266802124836,-73.90934218062803,Video Game Store,4b9f030af964a520eb0f37e3
9,Marble Hill,40.87655077879964,-73.91065965862981,T.J. Maxx,40.87723198343352,-73.90504239962168,Department Store,546d31ca498e561c698a0320
10,Marble Hill,40.87655077879964,-73.91065965862981,Vitamin Shoppe,40.87716,-73.905632,Supplement Shop,5631194e498e2de074de661c
11,Marble Hill,40.87655077879964,-73.91065965862981,Rite Aid,40.875466574434704,-73.90890629016033,Pharmacy,4b88e053f964a5208a1132e3
12,Marble Hill,40.87655077879964,-73.91065965862981,Land & Sea Restaurant,40.87788463309788,-73.90587282193539,Seafood Restaurant,4b9c9c6af964a520b27236e3
13,Marble Hill,40.87655077879964,-73.91065965862981,Subway,40.8746665302951,-73.9095858429637,Sandwich Place,4b4f7b65f964a5205a0827e3
14,Marble Hill,40.87655077879964,-73.91065965862981,Baskin-Robbins,40.87713228361307,-73.90667840652725,Ice Cream Shop,4e4e4517bd4101d0d7a67568
15,Marble Hill,40.87655077879964,-73.91065965862981,Subway,40.878464979323944,-73.9055176422437,Sandwich Place,4e4ce4debd413c4cc66d05d0
16,Marble Hill,40.87655077879964,-73.91065965862981,Parrilla Latina,40.87747294351472,-73.90607346968568,Steakhouse,4dfe40df8877333e195b68fc
17,Marble Hill,40.87655077879964,-73.91065965862981,Starbucks,40.873234,-73.90873,Coffee Shop,4b292e73f964a5207b9a24e3
18,Marble Hill,40.87655077879964,-73.91065965862981,Lot Less Closeouts,40.878270422202085,-73.9052646742604,Discount Store,4b9c9c43f964a520ac7236e3
19,Marble Hill,40.87655077879964,-73.91065965862981,The Children's Place,40.873671591133125,-73.90815619608166,Kids Store,4c852173dc018cfa2bc3e56c
20,Marble Hill,40.87655077879964,-73.91065965862981,TD Bank,40.8794958,-73.9092856,Bank,4ec68016cc21b428e1d2060a
21,Marble Hill,40.87655077879964,-73.91065965862981,Terrace View Delicatessen,40.875995,-73.913151,Deli / Bodega,4ed7956b8b81b2bf28adc714
22,Marble Hill,40.87655077879964,-73.91065965862981,Grill 26 at TCR,40.878802209517126,-73.9156723022461,American Restaurant,5012c967e889cf0567e9e2d4
23,Chinatown,40.71561842231432,-73.99427936255978,Cheeky Sandwiches,40.715821,-73.99183,Sandwich Place,4b1896caf964a52069d423e3
24,Chinatown,40.71561842231432,-73.99427936255978,Hotel 50 Bowery,40.7159364,-73.9967894,Hotel,578692f4498e1054905dbde7
25,Chinatown,40.71561842231432,-73.99427936255978,Bar Belly,40.71513492837161,-73.99180174375184,Cocktail Bar,503fffabe4b05e5c0eace385
26,Chinatown,40.71561842231432,-73.99427936255978,Spicy Village,40.71701,-73.99353,Chinese Restaurant,4db3374590a0843f295fb69b
27,Chinatown,40.71561842231432,-73.99427936255978,Kiki's,40.714476082876864,-73.99203609673215,Greek Restaurant,5521c2ff498ebe2368634187
28,Chinatown,40.71561842231432,-73.99427936255978,Scarr's Pizza,40.715335008813696,-73.99164900167455,Pizza Place,56c3c626cd106998d2b196d0
29,Chinatown,40.71561842231432,-73.99427936255978,Michaeli Bakery,40.71470398399014,-73.99184703826903,Bakery,5cd1aa6a9d746800394f556d
30,Chinatown,40.71561842231432,-73.99427936255978,Regina's Grocery,40.71545271972335,-73.99162066038105,Sandwich Place,59318ce1c5b11c6c16c15d29
31,Chinatown,40.71561842231432,-73.99427936255978,GoGreen Organic Spa,40.717014,-73.995847,Spa,4afde8eaf964a520f52b22e3
32,Chinatown,40.71561842231432,-73.99427936255978,Museum at Eldridge Street,40.714724,-73.993497,Museum,4b37a3c9f964a5207e4325e3
33,Chinatown,40.71561842231432,-73.99427936255978,Wah Fung Number 1 Fast Food 華豐快餐店,40.71727831655619,-73.99417731304892,Chinese Restaurant,4a96bf8ff964a520ce2620e3
34,Chinatown,40.71561842231432,-73.99427936255978,Super Taste (百味蘭州拉面) (Super Taste),40.71519757566773,-73.99351118851398,Noodle House,49e8ee2ef964a520af651fe3
35,Chinatown,40.71561842231432,-73.99427936255978,Xi'an Famous Foods,40.715231941715004,-73.99726288220869,Chinese Restaurant,5894c9a15e56b417cf79e553
36,Chinatown,40.71561842231432,-73.99427936255978,Fong On,40.714165,-73.9937,Dessert Shop,5596ea13498e6d86ec66d614
37,Chinatown,40.71561842231432,-73.99427936255978,Teado,40.71718422928588,-73.9948832988739,Bubble Tea Shop,4b2ebc57f964a520e3e524e3
38,Chinatown,40.71561842231432,-73.99427936255978,Yaya Tea Garden,40.71617656047733,-73.99490199219241,Tea Room,4a023f1df964a52040711fe3
39,Chinatown,40.71561842231432,-73.99427936255978,Dimes,40.71483045349728,-73.99171854350031,American Restaurant,522dfe8b7e4826517408a264
40,Chinatown,40.71561842231432,-73.99427936255978,Forgtmenot,40.714458761321595,-73.9915463794752,New American Restaurant,4fd38a04e4b065401a9aaf88
41,Chinatown,40.71561842231432,-73.99427936255978,The Crown,40.7159596120117,-73.99671727688867,Roof Deck,59287ec99cadd905284e4052
42,Chinatown,40.71561842231432,-73.99427936255978,Coming Soon,40.714979,-73.991667,Furniture / Home Store,535f8dc4498eab7f9ee19f7f
43,Chinatown,40.71561842231432,-73.99427936255978,WOON,40.71608055070792,-73.99168134841135,Salon / Barbershop,4c00402d369476b021218f1f
44,Chinatown,40.71561842231432,-73.99427936255978,Metrograph,40.714998539086416,-73.99103539533131,Indie Movie Theater,56bf8899cd102af95de0a66e
45,Chinatown,40.71561842231432,-73.99427936255978,Cervo's,40.714762540056384,-73.99145547895715,Spanish Restaurant,59480a78f62e090a3b4d6eb7
46,Chinatown,40.71561842231432,-73.99427936255978,Ling Kee Malaysian Beef Jerky,40.714713,-73.991538,Asian Restaurant,4b89ac72f964a520e94a32e3
47,Chinatown,40.71561842231432,-73.99427936255978,Sam's Fried Ice Cream,40.715814082261154,-73.99145645060749,Ice Cream Shop,58f25962c5b11c7b5a2192de
48,Chinatown,40.71561842231432,-73.99427936255978,Mel Bakery,40.71488,-73.991175,Bakery,5f53b39cf2961d1a5638ae6f
49,Chinatown,40.71561842231432,-73.99427936255978,Chinatown Soup,40.71518422476716,-73.99171537302827,Historic Site,54e0da16498e94a8f0d9de0f
50,Chinatown,40.71561842231432,-73.99427936255978,Sky Ting Yoga,40.715352,-73.992666,Yoga Studio,5cbe4ef7e679bc002c14f590
51,Chinatown,40.71561842231432,-73.99427936255978,Da Yu Hot Pot 大渝火锅,40.716735,-73.995752,Hotpot Restaurant,5d992946dbf3ca0008d05211
52,Chinatown,40.71561842231432,-73.99427936255978,Renew Day Spa,40.715559,-73.996747,Spa,4edbbcf729c2b9122a06991c
53,Chinatown,40.71561842231432,-73.99427936255978,Mian Tian Sing Hair Salon,40.716630177497784,-73.99732784630237,Salon / Barbershop,4bd763f30b779c74411005a0
54,Chinatown,40.71561842231432,-73.99427936255978,Chop Suey Club,40.716192,-73.991359,Boutique,573151a0498e6b3ca1939e51
55,Chinatown,40.71561842231432,-73.99427936255978,Joe's Shanghai 鹿嗚春,40.71566097685305,-73.99669268189086,Shanghai Restaurant,5ded51eaf492de00080966ed
56,Chinatown,40.71561842231432,-73.99427936255978,The Sill,40.716244858728366,-73.99202728744017,Garden Center,507820cee4b0bf54e0b19f39
57,Chinatown,40.71561842231432,-73.99427936255978,Shu Jiao Fu Zhou Cuisine 潭頭王福州小吃 (Shu Jiao Fu Zhou Cuisine),40.717434,-73.991848,Dumpling Restaurant,4b391426f964a520ae5525e3
58,Chinatown,40.71561842231432,-73.99427936255978,Wayla,40.7182908437571,-73.99258397519588,Thai Restaurant,5cc4e9d0c876c8002c3010cb
59,Chinatown,40.71561842231432,-73.99427936255978,La Petite Mort,40.715906,-73.991515,Boutique,529ccfdc498e49b7aa41cd22
60,Chinatown,40.71561842231432,-73.99427936255978,Hwa Yuan,40.713618266530226,-73.99597818966741,Chinese Restaurant,59d828f0916bc1155fde2c04
61,Chinatown,40.71561842231432,-73.99427936255978,The Original Chinatown Ice Cream Factory,40.71552144597581,-73.99814520882326,Ice Cream Shop,3fd66200f964a52033eb1ee3
62,Chinatown,40.71561842231432,-73.99427936255978,Simple,40.71814514203096,-73.99198775758143,Asian Restaurant,574f2ae0498ec2a700651b95
63,Chinatown,40.71561842231432,-73.99427936255978,Bacaro,40.714467897557796,-73.9915893664933,Italian Restaurant,472a027af964a520ea4b1fe3
64,Chinatown,40.71561842231432,-73.99427936255978,Sofar HQ,40.71352253397576,-73.99628875186677,Music Venue,57d9e582498e1a4d9f13ede7
65,Chinatown,40.71561842231432,-73.99427936255978,Dimes Deli,40.71459195873029,-73.99081729031317,Organic Grocery,56152506498ef893010e1273
66,Chinatown,40.71561842231432,-73.99427936255978,99 Favor Taste 99號餐廳,40.71756,-73.99258,Hotpot Restaurant,530ff20411d2a01b7bb8a19c
67,Chinatown,40.71561842231432,-73.99427936255978,Great N.Y. Noodletown,40.715039001656855,-73.99694075378208,Chinese Restaurant,3fd66200f964a520b1ea1ee3
68,Chinatown,40.71561842231432,-73.99427936255978,Yi Ji Shi Mo Noodle Corp,40.7182541242483,-73.99593030303214,Chinese Restaurant,5c965dad5455b2002c058659
69,Chinatown,40.71561842231432,-73.99427936255978,Apothéke,40.71446997055456,-73.99801834428807,Cocktail Bar,48c91543f964a520e4511fe3
70,Chinatown,40.71561842231432,-73.99427936255978,Reception Bar,40.7163598,-73.9913564,Cocktail Bar,5b35982a47f876003901d2e8
71,Chinatown,40.71561842231432,-73.99427936255978,New Malaysia,40.71578686130709,-73.9969050590344,Malay Restaurant,4bb92a9453649c74dacb47fb
72,Chinatown,40.71561842231432,-73.99427936255978,iLook,40.716163255085476,-73.99815860374045,Optical Shop,52699cd7498e879283280c11
73,Chinatown,40.71561842231432,-73.99427936255978,Go Believe Bakery,40.71836557553882,-73.99449033875533,Bakery,53ecfe56498e8ee1b1cabc2a
74,Chinatown,40.71561842231432,-73.99427936255978,l'estudio,40.71571997526929,-73.99033245121464,American Restaurant,587996ef0923920c21ea4603
75,Chinatown,40.71561842231432,-73.99427936255978,oo35mm.com,40.716604729318206,-73.99789000508754,Cosmetics Shop,4faf47ac121dc10e48519a89
76,Chinatown,40.71561842231432,-73.99427936255978,Golden Diner,40.71245135327847,-73.99421274662018,Diner,5b9686e7d807ee002c498f8d
77,Chinatown,40.71561842231432,-73.99427936255978,Kopitiam,40.71397394589247,-73.9908676845466,Malay Restaurant,5b33b3c74a7aae002cb0611d
78,Chinatown,40.71561842231432,-73.99427936255978,Tao Hong Bakery,40.71730722189439,-73.99426253233115,Bakery,4e9c20160aaf5f690efca0b0
79,Chinatown,40.71561842231432,-73.99427936255978,Little Canal,40.714317,-73.990361,Coffee Shop,579f74eb498e9a4d6caabeda
80,Chinatown,40.71561842231432,-73.99427936255978,The Flower Shop,40.718056988544205,-73.9920596318328,American Restaurant,583e5099b21014593fb544b0
81,Chinatown,40.71561842231432,-73.99427936255978,Phở Grand,40.71782396789147,-73.99280072371246,Vietnamese Restaurant,4388f700f964a520162b1fe3
82,Chinatown,40.71561842231432,-73.99427936255978,Winnie’s Bar,40.71365422614806,-73.99519249882738,Karaoke Bar,5c65df02178a2a002c123450
83,Chinatown,40.71561842231432,-73.99427936255978,The Commissary,40.715004192130635,-73.99100963130398,American Restaurant,572bcbaa498e16431ad34a61
84,Chinatown,40.71561842231432,-73.99427936255978,Gotham Archery,40.71749853701644,-73.99143013505147,Sports Club,5af88a7c5a2c91002cf5554c
85,Chinatown,40.71561842231432,-73.99427936255978,Sun Hing Lung Ho Fun Tofu,40.71296798032269,-73.99514878725047,Chinese Restaurant,4afff2b4f964a520583a22e3
86,Chinatown,40.71561842231432,-73.99427936255978,Singapore Malaysia Beef Jerky,40.71852709684469,-73.99582403497948,Snack Place,4a00e0a7f964a520bc701fe3
87,Chinatown,40.71561842231432,-73.99427936255978,CW Pencil Enterprise,40.71758268630868,-73.99066150188446,Paper / Office Supplies Store,5519bf61498ea5e5dde6cccc
88,Chinatown,40.71561842231432,-73.99427936255978,V One Salon,40.714713401536464,-73.99759144308398,Salon / Barbershop,4b76d3f4f964a52041622ee3
89,Chinatown,40.71561842231432,-73.99427936255978,Zest Ramen,40.718144622768186,-73.99197844783383,Ramen Restaurant,5a506d2318d43b4d678a46ff
90,Chinatown,40.71561842231432,-73.99427936255978,Factory Tamal,40.71587612490716,-73.99046733643608,Mexican Restaurant,5885471a0037eb3b6c2973d2
91,Chinatown,40.71561842231432,-73.99427936255978,Stanley's Pharmacy,40.7157817455398,-73.99054400644904,Pharmacy,51e9c2a5498e7a6eb1beffb8
92,Chinatown,40.71561842231432,-73.99427936255978,Hong Kong Supermarket 香港超級市場,40.717595732385966,-73.99617253722293,Supermarket,4ae4bf7ef964a520bf9d21e3
93,Chinatown,40.71561842231432,-73.99427936255978,Nam Son Vietnamese Restaurant,40.718214526047454,-73.99434463491643,Vietnamese Restaurant,4a7e3d0cf964a52088f11fe3
94,Chinatown,40.71561842231432,-73.99427936255978,Fay Da Bakery,40.71676493044495,-73.99787389276216,Bakery,482c4142f964a520d14f1fe3
95,Chinatown,40.71561842231432,-73.99427936255978,Joy's Flowers & Gifts,40.71560293093889,-73.9899371418026,Gift Shop,510eeed5e4b0ae0255d2fcee
96,Chinatown,40.71561842231432,-73.99427936255978,Partybus Bakeshop,40.715976,-73.989862,Bakery,5dcaee4f71cbe40008724875
97,Chinatown,40.71561842231432,-73.99427936255978,Mr. Fong's,40.71234870755251,-73.99429476756772,Cocktail Bar,5591ef05498e888b3bbd3ce1
98,Chinatown,40.71561842231432,-73.99427936255978,Clandestino,40.714639480844234,-73.99101333557718,Bar,43e51ac7f964a520f12e1fe3
99,Chinatown,40.71561842231432,-73.99427936255978,Taiwan Pork Chop House 臺灣武昌好味道,40.71436751328666,-73.99786861896594,Taiwanese Restaurant,49f61fe9f964a520046c1fe3
100,Chinatown,40.71561842231432,-73.99427936255978,JaJaJa Plantas Mexicana,40.714197627245426,-73.9901568736444,Mexican Restaurant,58f55261419a9e48f4dd0706
101,Chinatown,40.71561842231432,-73.99427936255978,Grand Healing Spa,40.717561317370176,-73.9920106901587,Massage Studio,53fcdb0b498e132ebe1c1337
102,Chinatown,40.71561842231432,-73.99427936255978,Hay Hay Roasted 囍燒臘,40.716496,-73.998062,Chinese Restaurant,5ff9e5215b3abd71536c9b46
103,Chinatown,40.71561842231432,-73.99427936255978,Vanessa's Dumpling House,40.718316255518644,-73.99188498001898,Dumpling Restaurant,49eeaf08f964a52078681fe3
104,Chinatown,40.71561842231432,-73.99427936255978,Kung Fu Tea (功夫茶),40.717118904809354,-73.9945616,Bubble Tea Shop,4e5ecc4a52b1425a3776f4db
105,Chinatown,40.71561842231432,-73.99427936255978,Peachy's,40.71445204430717,-73.99799106067414,Cocktail Bar,5ac97a9967f62b7f2980fe0d
106,Chinatown,40.71561842231432,-73.99427936255978,"Aqua Best Seafood, Inc",40.71784007413109,-73.99283014397935,Fish Market,4bb79967cf2fc9b601799e02
107,Chinatown,40.71561842231432,-73.99427936255978,Mango Mango Dessert - Bayard St.,40.71551587230272,-73.99802376966318,Dessert Shop,51bbe134498e54bba6bfa151
108,Chinatown,40.71561842231432,-73.99427936255978,Cafe Katja,40.71772249773717,-73.9904973426323,Austrian Restaurant,49c3a162f964a52067561fe3
109,Chinatown,40.71561842231432,-73.99427936255978,Bibble & Sip,40.7180245169494,-73.99756154835737,Dessert Shop,5ca79ef7c0af570039248a87
