,Rating,Tips Count
0,7.1,19
1,,0
2,8.7,180
3,9.3,205
4,8.4,99
5,9.1,29
6,8.6,178
7,9.0,97
8,8.7,22
9,8.6,12
10,8.1,1
11,8.0,8
12,8.6,108
13,9.4,33
14,8.3,20
15,9.2,47
16,8.2,74
17,8.2,102
18,8.0,285
19,8.7,7
20,7.9,97
21,8.7,9
22,8.8,34
23,8.6,31
24,8.1,133
25,8.2,13
26,8.3,26
27,8.6,10
28,8.4,11
29,8.2,62
30,8.4,86
31,8.9,52
32,8.3,1
33,8.6,412
34,9.0,130
35,8.5,376
36,7.8,43
37,9.2,15
38,8.2,228
39,7.7,5
40,8.9,10
41,8.5,62
42,7.8,18
43,8.6,6
44,7.9,44
45,8.3,7
46,7.9,61
47,7.9,12
48,8.2,4
49,7.8,26
50,7.5,5
51,7.4,17
52,7.0,5
53,7.0,37
54,7.3,2
55,7.6,20
56,7.4,11
57,7.1,37
58,6.8,2
59,7.2,5
60,,2
61,8.3,45
62,8.1,1
63,7.7,5
64,8.3,7
65,7.4,11
66,7.9,6
67,7.4,7
68,8.0,2
69,7.3,6
70,7.1,7
71,7.3,4
72,7.3,6
73,7.0,5
74,7.2,7
75,6.8,2
76,7.0,4
77,6.2,3
78,,2
79,9.1,23
80,8.8,21
81,8.2,19
82,8.1,7
83,8.0,15
84,8.1,48
85,7.7,10
86,7.7,17
87,7.9,6
88,8.3,16
89,7.7,52
90,7.6,7
91,7.5,4
92,7.2,3
93,7.1,8
94,7.0,8
95,6.9,5
96,5.9,7
97,8.3,185
98,7.6,6
99,9.0,146
100,8.0,24
101,7.9,23
102,7.6,18
103,7.8,39
104,7.8,21
105,8.1,28
106,7.6,2
107,8.1,7
108,7.3,20
109,7.2,56
110,7.5,6
111,7.2,2
112,6.6,6
113,6.4,39
114,,1
115,8.5,7
116,8.6,62
117,8.6,31
118,8.1,14
119,8.2,3
120,7.8,8
121,9.1,62
122,7.6,4
123,7.3,1
124,8.0,8
125,7.4,2
126,7.1,33
127,7.7,2
128,7.1,17
129,7.2,20
130,,1
131,8.7,9
132,8.0,2
133,8.4,27
134,8.1,7
135,8.3,93
136,7.8,2
137,8.8,18
138,8.3,33
139,8.4,44
140,7.8,6
141,7.4,13
142,7.5,4
143,8.0,4
144,7.8,8
145,8.8,88
146,8.5,53
147,8.7,15
148,8.2,7
149,8.0,2
150,8.4,7
151,9.2,180
152,8.7,90
153,8.5,13
154,8.3,69
155,8.0,8
156,8.2,45
157,7.9,17
158,8.0,11
159,8.7,40
160,7.9,2
161,8.1,5
162,7.6,32
163,7.6,14
164,7.9,10
165,8.3,79
166,7.8,17
167,7.9,22
168,7.8,28
169,8.3,22
170,8.5,19
171,8.7,39
172,9.0,9
173,8.3,73
174,8.9,2
175,8.5,22
176,8.2,18
177,8.4,58
178,7.8,14
179,8.1,11
180,8.8,104
181,9.1,49
182,8.4,14
183,8.5,73
184,7.3,20
185,8.7,174
186,8.3,51
187,8.0,22
188,8.1,29
189,8.1,52
190,7.3,3
191,7.0,20
192,7.5,7
193,7.4,9
194,7.2,24
195,7.5,6
196,7.5,53
197,7.3,13
198,7.2,18
199,9.1,13
200,9.3,164
201,8.7,16
202,8.0,35
203,9.0,25
204,8.0,40
205,7.7,11
206,8.2,37
207,8.1,3
208,7.6,10
209,7.8,10
210,9.1,94
211,8.5,11
212,7.5,8
213,7.9,7
214,7.5,4
215,7.8,35
216,9.0,9
217,8.1,12
218,8.6,178
219,9.2,111
220,8.2,22
221,7.9,26
222,8.0,1
223,7.9,18
224,7.6,49
225,7.6,49
226,7.4,1
227,8.3,3
228,6.3,28
229,9.2,655
230,9.1,76
231,9.0,14
232,8.9,66
233,8.6,126
234,8.5,92
235,9.2,187
236,8.5,35
237,8.3,149
238,8.6,219
239,8.2,75
240,8.4,146
241,8.2,49
242,8.8,101
243,8.7,1
244,7.5,50
245,8.3,28
246,7.4,9
247,7.8,12
248,8.4,172
249,8.1,56
250,8.3,22
251,8.4,5
252,7.6,24
253,8.3,9
254,7.9,4
255,8.3,39
256,8.1,10
257,8.1,2
258,8.2,132
259,8.2,5
260,8.2,11
261,8.1,18
262,7.7,16
263,7.9,38
264,7.8,104
265,7.4,45
266,8.4,206
267,8.5,341
268,8.1,5
269,8.0,140
270,8.1,133
271,7.9,183
272,7.9,61
273,8.6,100
274,7.7,64
275,7.7,44
276,5.5,13
277,8.9,333
278,8.8,30
279,8.4,57
280,8.2,35
281,8.8,16
282,8.0,179
283,8.3,10
284,8.0,7
285,8.8,9
286,7.9,65
287,8.6,5
288,7.6,58
289,8.2,7
290,8.1,17
291,8.2,127
292,7.9,58
